alert_id,created_at,region,message,emergency_level,disaster_category
259324,2026/06/13 09:50:03,경기도 용인시 처인구 원삼면,오늘 08:44 처인구 원삼면 고당리 185-3 공장에서 화재로 대량의연기 발생.인근차량은 우회하고 주민분들은 창문을 닫는 등 안전관리에 유의 바랍니다.[용인시],안전안내,화재
259325,2026/06/13 10:00:28,경상남도 산청군 ,"금일 야외활동인구 증가 예상으로 산불위험 높음. ▲산청군 전지역 입산 시 산림 내 흡연, 불법 야영·취사 금지. 현재 단속 중. 적발 시 과태료 부과. [산청군]",안전안내,산불
259320,2026/06/13 07:59:23,경기도 군포시 ,금정고가교(군포역에서 호계방향) 긴급보수공사로 인하여 2026.6.14(일) 24:00까지 전면통제중이오니 우회하여 주시기 바랍니다.[군포시],안전안내,기타
259321,2026/06/13 08:08:53,"경상남도 창원시 마산합포구 ,경상남도 창원시 마산회원구 ",6/13(토) 투르 드 경남 2026 진행으로 06시~12시까지 해안대로(마산지검사거리~마산소방정대) 양방향 교통통제 예정이니 우회 도로 이용해주시기 바랍니다. [창원시],안전안내,기타
259322,2026/06/13 09:11:51,강원특별자치도 양양군 ,"여름철 물놀이 사고 예방을 위해 구명조끼 착용, 야간/음주 후 입수 금지, 어린이는 보호자 동반, 준비운동 등 안전수칙 준수 바랍니다.[양양군]",안전안내,기타
259323,2026/06/13 09:12:30,경상북도 경주시 ,"여름철 물놀이 사고 예방을 위해 구명조끼 착용, 야간/음주 후 입수 금지, 어린이는 보호자 동반, 준비운동 등 안전수칙 준수 바랍니다. [경주시]",안전안내,기타
259341,2026/06/13 21:57:23,"부산광역시 동래구 ,부산광역시 연제구 ","BTS 공연 행사장 인근 혼잡이 예상되오니, 시민 여러분께서는 인파밀집사고 예방을 위해 질서유지 및 안전요원(경찰 등)의 안내에 협조하여 주시기 바랍니다[부산시]",안전안내,기타
259329,2026/06/13 11:00:13,"부산광역시 동래구 ,부산광역시 연제구 ","6.13.(토) BTS 공연과 관련하여 도시철도 증편 연장 운행하오니 대중교통(도시철도, 버스)을 이용하여 주시기 바랍니다. [부산시]",안전안내,기타
259327,2026/06/13 10:45:04,경상북도 고령군 운수면,"오늘 10:30경 고령군 운수면 팔산리 499-2 전신주 화재로 인하여 운수면 팔산리, 유리 일부 정전 발생. 인근 주민분들께서는 복구 전까지 안전사고에 유의하여 주시기 바랍니다. [고령군]",안전안내,통신
259328,2026/06/13 10:56:10,경상북도 고령군 운수면,"금일10:30경 운수면 팔산리499-2 전신주 화재로 정전이 발생, 팔산리 일부 수도 공급이 중단되고 있습니다. 주민분들께서 안전에 유의하시기 바랍니다.[고령군]",안전안내,수도
259340,2026/06/13 18:05:26,대구광역시 달서구 ,"오늘 대구광역시 달서구 장동4-4  화재사고로 인한 검은연기 다량발생. 인근 주민은 사고지점에서 먼 곳으로 이동하시고, 차량은 우회바랍니다.  [달서구]",안전안내,화재
259330,2026/06/13 12:01:22,강원특별자치도 강릉시 ,너울성 파도 및 높은 파도로 해안가 안전사고가 우려됩니다. 관광객과 주민 여러분의 안전을 위해 해변 입수와 방파제 접근을 자제해 주시기 바랍니다. [강릉시],안전안내,풍랑
259335,2026/06/13 14:05:28,충청남도 천안시 동남구 북면,"물놀이 사고예방을 위해 충분한 준비운동, 구명조끼착용, 야간·음주 후 수영금지, 어린이는 반드시 보호자와 함께하기 등 안전수칙을 준수하시기 바랍니다.[천안시]",안전안내,기타
259336,2026/06/13 14:05:42,충청남도 천안시 동남구 광덕면,"물놀이 사고예방을 위해 충분한 준비운동, 구명조끼착용, 야간·음주 후 수영금지, 어린이는 반드시 보호자와 함께하기 등 안전수칙을 준수하시기 바랍니다.[천안시]",안전안내,기타
259332,2026/06/13 13:59:22,충청남도 당진시 ,"물놀이 사고 예방을 위해 구명조끼 착용, 야간/음주 후 입수 금지, 어린이는 보호자 동반, 준비운동 등 안전수칙 준수 바랍니다. [당진시]",안전안내,기타
259333,2026/06/13 14:00:33,"부산광역시 동래구 ,부산광역시 연제구 ","6.13.(토) BTS 공연으로 사직아시아드주경기장 일대 차량 통행량 급증이 예상되오니 우회도로(아시아드대로, 사직로)를 이용하여 주시기 바랍니다. [부산시]",안전안내,기타
259334,2026/06/13 14:00:43,부산광역시 사상구 ,"(차량통제) 공사시행관련 새벽시장로(낙동대로↔사상구청) 일부구간 전면통제
구간: (새벽시장 교차로 앞) 새벽시장로 85 ~ 새벽시장로 100
일시: 6월 15일(월) ~ 27년 1월
운전자께서는 우회하여 주시기 바랍니다.[사상구]",안전안내,기타
259339,2026/06/13 16:00:18,"부산광역시 동래구 ,부산광역시 연제구 ",6.13.(토) BTS 공연으로 사직아시아드주경기장 일대가 혼잡하니 통제요원(경찰 등)의 안내에 적극 협조 바랍니다. [부산시],안전안내,기타
